"simscenarios","lambda.scenario","scenario","phi1.obs","phi1.true","phiad.obs","phiad.true","fec.obs","fec.true","det.abund","det.MR","det.prod","lambda"
8,"Increasing",23,0.763737752616726,0.87,0.390245408667527,0.39,0.854575366085021,0.75,"M","M","M","H"
8,"Increasing",15,0.162001469066216,0.16,0.903320888582384,0.9,0.99639948544404,1,"M","M","M","H"
8,"Increasing",6,0.227724752749385,0.18,0.7733320693912,0.77,1.21589197585852,1.55,"M","M","M","H"
8,"Increasing",8,0.671802494860334,0.76,0.485997889781328,0.49,0.853550380988622,0.75,"M","M","M","H"
8,"Increasing",20,0.215818781396474,0.15,0.768747704998925,0.76,1.31276073840802,1.95,"M","M","M","H"
8,"Increasing",25,0.580512524582687,0.53,0.429530862009837,0.44,1.06916244416334,1.15,"M","M","M","H"
8,"Increasing",5,0.651529970219648,0.49,0.22552133266921,0.22,1.25221543683349,1.675,"M","M","M","H"
8,"Increasing",14,0.435822185978811,0.28,0.451106182292518,0.45,1.35901082686165,2.125,"M","M","M","H"
8,"Increasing",21,0.271073709694901,0.15,0.649300657788528,0.65,1.44556188466079,2.6,"M","M","M","H"
8,"Increasing",22,0.743313243580839,0.6,0.165815420791945,0.17,1.19083558812253,1.475,"M","M","M","H"
8,"Increasing",11,0.718352020890665,0.76,0.353155552470717,0.36,0.947802213344449,0.9,"M","M","M","H"
9,"Increasing",19,0.220156658021553,0.15,0.769928983130565,0.77,1.31317893286643,1.925,"H","H","H","H"
9,"Increasing",12,0.327781921141883,0.43,0.826530183721573,0.83,0.661118190080787,0.5,"H","H","H","H"
9,"Increasing",9,0.135259690601084,0.18,0.969044893405902,0.97,0.66537063803537,0.5,"H","H","H","H"
9,"Increasing",2,0.708493133776243,0.56,0.191630888415597,0.19,1.21699602491654,1.55,"H","H","H","H"
9,"Increasing",1,0.182190045871852,0.12,0.807274265337199,0.81,1.3373702491179,2.025,"H","H","H","H"
9,"Increasing",10,0.171019521941857,0.1,0.810550690512919,0.81,1.42476612504209,2.45,"H","H","H","H"
9,"Increasing",24,0.831127331076168,0.86,0.258792666977287,0.26,0.958626493177129,0.925,"H","H","H","H"
9,"Increasing",25,0.56702665131756,0.53,0.442286190257389,0.44,1.06997268802292,1.15,"H","H","H","H"
9,"Increasing",3,0.657273441014581,0.57,0.303480654936865,0.3,1.13534445299235,1.325,"H","H","H","H"
9,"Increasing",17,0.116811143744556,0.13,0.950025921196614,0.95,0.894670954327881,0.8,"H","H","H","H"
9,"Increasing",15,0.161361649919273,0.16,0.899356306908367,0.9,0.999195279014977,1,"H","H","H","H"
9,"Increasing",20,0.221571091039723,0.15,0.759370830238792,0.76,1.3178619840277,1.95,"H","H","H","H"
9,"Increasing",14,0.435079096268269,0.28,0.451206054285435,0.45,1.35593257130953,2.125,"H","H","H","H"
9,"Increasing",18,0.301399932080245,0.39,0.83920566074876,0.84,0.714478598254824,0.55,"H","H","H","H"
9,"Increasing",4,0.406379554884419,0.34,0.57429992780113,0.58,1.15834190975561,1.375,"H","H","H","H"
9,"Increasing",22,0.732385177043177,0.6,0.170333750391988,0.17,1.19767442716965,1.475,"H","H","H","H"
9,"Increasing",13,0.273189958142099,0.28,0.788175018918519,0.79,0.978541667294144,0.95,"H","H","H","H"
9,"Increasing",8,0.665960713186705,0.76,0.487133371802501,0.49,0.855116629481274,0.75,"H","H","H","H"
9,"Increasing",6,0.227113619487279,0.18,0.775009332618626,0.77,1.21104973556182,1.55,"H","H","H","H"
9,"Increasing",21,0.270514017503817,0.15,0.64848506458652,0.65,1.44430475751048,2.6,"H","H","H","H"
9,"Increasing",11,0.722614731505051,0.76,0.354654726952926,0.36,0.941588337764985,0.9,"H","H","H","H"
9,"Increasing",5,0.64957905587769,0.49,0.224029978932573,0.22,1.24981424667065,1.675,"H","H","H","H"
9,"Increasing",16,0.276603946289335,0.33,0.819580071457474,0.82,0.809499291592196,0.675,"H","H","H","H"
9,"Increasing",23,0.75850894206784,0.87,0.391617141972271,0.39,0.853929759944328,0.75,"H","H","H","H"
9,"Increasing",7,0.523737752904823,0.5,0.492352354884082,0.49,1.0433124692861,1.1,"H","H","H","H"
10,"Decreasing",24,0.738298788616365,0.64,0.114543909682437,0.14,1.12059622301655,1.275,"M","L","L","L"
10,"Decreasing",25,0.568016142126701,0.31,0.128371811070359,0.16,1.44705153318992,2.575,"M","L","L","L"
10,"Decreasing",17,0.694853722124997,0.71,0.302119464855582,0.32,0.936194756075553,0.9,"M","L","L","L"
10,"Decreasing",15,0.555686943058706,0.61,0.441414777823475,0.45,0.914273767622609,0.825,"M","L","L","L"
10,"Decreasing",4,0.23663338143779,0.22,0.6999435434471,0.7,1.08747902427582,1.175,"M","L","L","L"
10,"Decreasing",20,0.305445915935932,0.17,0.503125700559163,0.52,1.41715703863809,2.475,"M","L","L","L"
10,"Decreasing",11,0.776482444513309,0.91,0.321442679615241,0.33,0.801581698230227,0.675,"M","L","L","L"
10,"Decreasing",5,0.479261473611899,0.63,0.632497353604674,0.64,0.664338202990824,0.5,"M","L","L","L"
10,"Decreasing",22,0.570863291028687,0.42,0.223184384359319,0.19,1.278736766728,1.825,"M","L","L","L"
10,"Decreasing",21,0.621539211111234,0.61,0.337214204930513,0.35,0.99489259288285,1,"M","L","L","L"
10,"Decreasing",8,0.806473745923789,0.8,0.160028060617847,0.18,0.981056394793085,0.975,"M","L","L","L"
10,"Decreasing",1,0.225950603354968,0.15,0.649853623175916,0.66,1.32111347753702,1.95,"M","L","L","L"
10,"Decreasing",12,0.499793995612097,0.58,0.54297228311677,0.54,0.802686279782254,0.7,"M","L","L","L"
10,"Decreasing",18,0.35756690603946,0.18,0.415615186946187,0.43,1.48018261893096,2.875,"M","L","L","L"
10,"Decreasing",14,0.568472578641236,0.36,0.182763286972243,0.2,1.369250759303,2.1,"M","L","L","L"
10,"Decreasing",3,0.25596556145833,0.17,0.629812125456817,0.64,1.30429841120222,1.875,"M","L","L","L"
10,"Decreasing",2,0.175264112609905,0.1,0.694495553965939,0.7,1.43641798038418,2.475,"M","L","L","L"
